section,prop_type,srp_type,indexable,h1,title,description
rent,condo-apt,county,yes,{prop_type} for {prop_status} in {location},{prop_type} for {prop_status} in {location} 🏢| Ofirio.com,"Explore {number_search_results} {prop_type} for rent in {location} on Ofirio. Find a place that you will love. Compare prices, view similar properties, and contact agents."
rent,condo-apt,zip,yes,{location} {prop_type} for {prop_status},{location} {prop_type} for {prop_status} 🏢| Ofirio.com,"Explore {number_search_results} {prop_type} for rent in {location}. Find a place that you will love. Compare prices, view similar properties, and contact agents."
rent,townhouse,-,yes,{prop_type} for {prop_status} {location},{prop_type} for {prop_status} {location} 🏢| Ofirio.com,"Explore {number_search_results} {prop_type} for rent on Ofirio. Filter properties to find your perfect place - search by price, accommodations, and many other filters."
rent,townhouse,state,yes,{prop_type} for {prop_status} in {location},{prop_type} for {prop_status} in {location} 🏢| Ofirio.com,"Explore {number_search_results} {prop_type} for rent on Ofirio. Filter properties in {location} to find your perfect place - search by price, accommodations, and many other filters."
rent,townhouse,city,yes,{prop_type} for {prop_status} in {location},{prop_type} for {prop_status} in {location} 🏢| Ofirio.com,"Explore {number_search_results} {city} {prop_type} for rent in {state}. Find a place that you will love. Compare prices, view similar properties, and contact agents."
rent,townhouse,county,yes,{prop_type} for {prop_status} in {location},{prop_type} for {prop_status} in {location} 🏢| Ofirio.com,"Explore {number_search_results} {prop_type} for rent in {location} on Ofirio. Find a place that you will love. Compare prices, view similar properties, and contact agents."
rent,townhouse,zip,yes,{location} {prop_type} for {prop_status},{location} {prop_type} for {prop_status} 🏢| Ofirio.com,"Explore {number_search_results} {prop_type} for rent in {location}. Find a place that you will love. Compare prices, view similar properties, and contact agents."
buy,-,-,yes,{prop_type} for {prop_status} {location},{prop_type} for {prop_status} {location} 🏡 Real Estate | Ofirio.com,"Explore over {number_search_results} homes for sale {location} on Ofirio. Find your perfect place - View listing photos, compare prices, and a lot more."
buy,-,state,yes,{prop_type} for {prop_status} in {location} Real Estate,{prop_type} for {prop_status} in {location} 🏡 Real Estate | Ofirio.com,"Explore over {number_search_results} homes for sale in {location} on Ofirio. Find your perfect place - View listing photos, compare prices, and a lot more."
buy,-,city,yes,{prop_type} for {prop_status} in {location} Real Estate,{prop_type} for {prop_status} in {location} 🏡 Real Estate | Ofirio.com,"Explore {number_search_results} {city} {prop_type} for {prop_status} in {state}. View listing photos, compare prices, filter and find exactly what you are looking for in your new Home."
buy,-,county,yes,{prop_type} for {prop_status} in {location} Real Estate,{prop_type} for {prop_status} in {location} 🏡 Real Estate | Ofirio.com,"Explore {number_search_results} homes for sale in {location}.View listing photos, compare prices, filter and find exactly what you are looking for in your new Home."
buy,-,zip,yes,{location} {prop_type} for {prop_status} Real Estate,{location} {prop_type} for {prop_status} 🏡 Real Estate | Ofirio.com,"Explore {number_search_results} homes for sale in {location}. View listing photos, compare prices, filter and find exactly what you are looking for in your new Home."
buy,house-duplex,-,yes,{prop_type} for {prop_status} {location},{prop_type} for {prop_status} {location} 🏡 Real Estate | Ofirio.com,"Explore over {number_search_results} {prop_type} for sale {location} on Ofirio. Find your perfect place - View listing photos, compare prices, and a lot more."
buy,house-duplex,state,yes,{prop_type} for {prop_status} in {location} Real Estate,{prop_type} for {prop_status} in {location} 🏡 Real Estate | Ofirio.com,"Explore over {number_search_results} {prop_type} for sale in {location} on Ofirio. Find your perfect place - View listing photos, compare prices, and a lot more."
buy,house-duplex,city,yes,{prop_type} for {prop_status} in {location} Real Estate,{prop_type} for {prop_status} in {location} 🏡 Real Estate | Ofirio.com,"Explore {number_search_results} {city} {prop_type} for {prop_status} in {state}. View listing photos, compare prices, filter and find exactly what you are looking for in your new Home."
buy,house-duplex,county,yes,{prop_type} for {prop_status} in {location} Real Estate,{prop_type} for {prop_status} in {location} 🏡 Real Estate | Ofirio.com,"Explore {number_search_results} {prop_type} for sale in {location}.View listing photos, compare prices, filter and find exactly what you are looking for in your new Home."
buy,house-duplex,zip,yes,{location} {prop_type} for {prop_status} Real Estate,{location} {prop_type} for {prop_status} 🏡 Real Estate | Ofirio.com,"Explore {number_search_results} {prop_type} for sale in {location}. View listing photos, compare prices, filter and find exactly what you are looking for in your new Home."
buy,condo-apt,-,yes,{prop_type} for {prop_status} {location},{prop_type} for {prop_status} {location} 🏡 Real Estate | Ofirio.com,"Explore over {number_search_results} {prop_type} for sale {location} on Ofirio. Find your perfect place - View listing photos, compare prices, and a lot more."
buy,condo-apt,state,yes,{prop_type} for {prop_status} in {location} Real Estate,{prop_type} for {prop_status} in {location} 🏡 Real Estate | Ofirio.com,"Explore over {number_search_results} {prop_type} for sale in {location} on Ofirio. Find your perfect place - View listing photos, compare prices, and a lot more."
buy,condo-apt,city,yes,{prop_type} for {prop_status} in {location} Real Estate,{prop_type} for {prop_status} in {location} 🏡 Real Estate | Ofirio.com,"Explore {number_search_results} {city} {prop_type} for {prop_status} in {state}. View listing photos, compare prices, filter and find exactly what you are looking for in your new Home."
buy,condo-apt,county,yes,{prop_type} for {prop_status} in {location} Real Estate,{prop_type} for {prop_status} in {location} 🏡 Real Estate | Ofirio.com,"Explore {number_search_results} {prop_type} for sale in {location}.View listing photos, compare prices, filter and find exactly what you are looking for in your new Home."
buy,condo-apt,zip,yes,{location} {prop_type} for {prop_status} Real Estate,{location} {prop_type} for {prop_status} 🏡 Real Estate | Ofirio.com,"Explore {number_search_results} {prop_type} for sale in {location}. View listing photos, compare prices, filter and find exactly what you are looking for in your new Home."
buy,townhouse,-,yes,{prop_type} for {prop_status} {location},{prop_type} for {prop_status} {location} 🏡 Real Estate | Ofirio.com,"Explore over {number_search_results} {prop_type} for sale {location} on Ofirio. Find your perfect place - View listing photos, compare prices, and a lot more."
buy,townhouse,state,yes,{prop_type} for {prop_status} in {location} Real Estate,{prop_type} for {prop_status} in {location} 🏡 Real Estate | Ofirio.com,"Explore over {number_search_results} {prop_type} for sale in {location} on Ofirio. Find your perfect place - View listing photos, compare prices, and a lot more."
buy,townhouse,city,yes,{prop_type} for {prop_status} in {location} Real Estate,{prop_type} for {prop_status} in {location} 🏡 Real Estate | Ofirio.com,"Explore {number_search_results} {city} {prop_type} for {prop_status} in {state}. View listing photos, compare prices, filter and find exactly what you are looking for in your new Home."
buy,townhouse,county,yes,{prop_type} for {prop_status} in {location} Real Estate,{prop_type} for {prop_status} in {location} 🏡 Real Estate | Ofirio.com,"Explore {number_search_results} {prop_type} for sale in {location}.View listing photos, compare prices, filter and find exactly what you are looking for in your new Home."
buy,townhouse,zip,no,{location} {prop_type} for {prop_status} Real Estate,{location} {prop_type} for {prop_status} 🏡 Real Estate | Ofirio.com,"Explore {number_search_results} {prop_type} for sale in {location}. View listing photos, compare prices, filter and find exactly what you are looking for in your new Home."
invest,-,-,yes,Investment Properties {location},Investment Properties {location} 💰| Ofirio.com,Explore {number_search_results} Real Estate investment opportunities. Search for homes based on how good the deal is. See how much cash flow a property can generate.
invest,-,state,yes,{location} Real Estate Investment,{location} Real Estate Investment 💰| Ofirio.com,Explore {number_search_results} Real Estate investment opportunities in {location}. Search for homes based on how good the deal is. See how much cash flow a property can generate.
invest,-,city,yes,Investment Properties in {location},{location} Real Estate Investment Properties 💰| Ofirio.com,Explore {number_search_results} {city} Real Estate investment opportunities in {state}. Search for homes based on how good the deal is. See how much cash flow a property can generate.
invest,-,county,no,Investment Properties in {location},Investment Properties in {location} 💰| Ofirio.com,Explore {number_search_results} Real Estate investment opportunities in {location}. Search for homes based on how good the deal is. See how much cash flow a property can generate.
invest,-,zip,no,{location} Investment Properties,{location} Investment Properties 💰| Ofirio.com,Explore {number_search_results} Real Estate investment opportunities in {location}. Search for homes based on how good the deal is. See how much cash flow a property can generate.
invest,condo-apt,-,no,Investment {prop_type} {location},Investment {prop_type} {location} 💰| Ofirio.com,Explore {number_search_results} Real Estate investment opportunities. Search for {prop_type} based on how good the deal is. See how much cash flow a property can generate.
invest,condo-apt,state,no,{location} Investment {prop_type},{location} Investment {prop_type} 💰| Ofirio.com,Explore {number_search_results} Real Estate investment opportunities in {location}. Search for homes based on how good the deal is. See how much cash flow a property can generate.
invest,condo-apt,city,no,{location} Investment {prop_type},{location} Investment {prop_type} 💰| Ofirio.com,Explore {number_search_results} {city} Real Estate investment opportunities in {state}. Search for homes based on how good the deal is. See how much cash flow a property can generate.
invest,condo-apt,county,no,Investment {prop_type} in {location},Investment {prop_type} in {location} 💰| Ofirio.com,Explore {number_search_results} Real Estate investment opportunities in {location}. Search for homes based on how good the deal is. See how much cash flow a property can generate.
invest,condo-apt,zip,no,{location} Investment {prop_type},{location} Investment {prop_type} 💰| Ofirio.com,Explore {number_search_results} Real Estate investment opportunities in {location}. Search for homes based on how good the deal is. See how much cash flow a property can generate.
invest,house-duplex,-,no,Investment {prop_type} {location},Investment {prop_type} {location} 💰| Ofirio.com,Explore {number_search_results} Real Estate investment opportunities. Search for {prop_type} based on how good the deal is. See how much cash flow a property can generate.
invest,house-duplex,state,no,{location} Investment {prop_type},{location} Investment {prop_type} 💰| Ofirio.com,Explore {number_search_results} Real Estate investment opportunities in {location}. Search for homes based on how good the deal is. See how much cash flow a property can generate.
invest,house-duplex,city,no,{location} Investment {prop_type},{location} Investment {prop_type} 💰| Ofirio.com,Explore {number_search_results} {city} Real Estate investment opportunities in {state}. Search for homes based on how good the deal is. See how much cash flow a property can generate.
invest,house-duplex,county,no,Investment {prop_type} in {location},Investment {prop_type} in {location} 💰| Ofirio.com,Explore {number_search_results} Real Estate investment opportunities in {location}. Search for homes based on how good the deal is. See how much cash flow a property can generate.
invest,house-duplex,zip,no,{location} Investment {prop_type},{location} Investment {prop_type} 💰| Ofirio.com,Explore {number_search_results} Real Estate investment opportunities in {location}. Search for homes based on how good the deal is. See how much cash flow a property can generate.
invest,townhouse,-,no,Investment {prop_type} {location},Investment {prop_type} {location} 💰| Ofirio.com,Explore {number_search_results} Real Estate investment opportunities. Search for {prop_type} based on how good the deal is. See how much cash flow a property can generate.
invest,townhouse,state,no,{location} Investment {prop_type},{location} Investment {prop_type} 💰| Ofirio.com,Explore {number_search_results} Real Estate investment opportunities in {location}. Search for homes based on how good the deal is. See how much cash flow a property can generate.
invest,townhouse,city,no,{location} Investment {prop_type},{location} Investment {prop_type} 💰| Ofirio.com,Explore {number_search_results} {city} Real Estate investment opportunities in {state}. Search for homes based on how good the deal is. See how much cash flow a property can generate.
invest,townhouse,county,no,Investment {prop_type} in {location},Investment {prop_type} in {location} 💰| Ofirio.com,Explore {number_search_results} Real Estate investment opportunities in {location}. Search for homes based on how good the deal is. See how much cash flow a property can generate.
invest,townhouse,zip,no,{location} Investment {prop_type},{location} Investment {prop_type} 💰| Ofirio.com,Explore {number_search_results} Real Estate investment opportunities in {location}. Search for homes based on how good the deal is. See how much cash flow a property can generate.
